"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - condcoop-F-baseline"
"05/31/2017 11:10:29:055 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"11","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","65","0.24347826086956523"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","66","0.3142857142857143"
"11","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","75","0.30344827586206896"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","71","0.2125"
"11","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","65","0.24347826086956523"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","65","0.34"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","62","0.28"
"11","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","70","0.2956521739130435"
"9","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","70","0.2129032258064516"
"10","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","60","0.2571428571428571"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","76","0.23636363636363636"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","63","0.4666666666666667"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","71","0.23157894736842105"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","66","0.2129032258064516"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","66","0.17959183673469387"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","67","0.10909090909090909"
"12","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"11","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","72","0.2129032258064516"
"13","15.5","0.11","0.55","0.06","""conditionalcooperation""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","66","0.29473684210526313"
