"BehaviorSpace results (NetLogo 5.2.1)"
"irrigame_comm.nlogo"
"CoV - socval-F-baseline"
"06/07/2017 11:37:36:566 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","umin","sharerandom","mu","shareselfish","scenario","lambda","stdev-random","psat","visioneffect","gammawatercol","phase2?","mean-expC","Variability","comlimscore","alpha","limcom","beta","lambda-inv","lambda-ext","[step]","infrastructure","gini-ext"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","75","0.2"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","70","0.2"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","65","0.2"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","60","0.4"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","90","0.4"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","9","63","0"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","81","0.4"
"10","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","10","56","0.7333333333333333"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","0","100","0"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","79","0.4"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","73","0.4"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","1","100","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","84","0.4"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","2","100","0.05714285714285714"
"11","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","66","0.4"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","3","100","0.05714285714285714"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","100","0.05714285714285714"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","100","0.05714285714285714"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","6","100","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","4","85","0.05714285714285714"
"1","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","19","0"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","7","100","0.05714285714285714"
"12","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","5","86","0.05714285714285714"
"13","15.5","0.11","0.55","0.06","""social-values""","0.44","0.35","0.2","false","6.9","false","0.54","""lv-wa""","0.31","0.92","false","0.79","0.3","0.54","8","100","0.05714285714285714"
